script,amount_in_percentage_margin,leverage_margin,amount_in_percentage_co,leverage_margin_co
IPCALAB,20,5,12,8
IRCON,21.49,5,12.89,8
IRCTC,9.15,11,5.49,18
ISEC,21.62,5,12.97,8
ITC,8.52,12,5.11,20
ITI,20,5,12,8
JAGRAN,20,5,12,8
JAICORPLTD,20,5,12,8
JCHAC,20,5,12,8
JINDALSAW,20,5,12,8
JINDALSTEL,27.5,4,16.5,6
JKCEMENT,20,5,12,8
JKLAKSHMI,20,5,12,8
JKPAPER,20,5,12,8
JKTYRE,20,5,12,8
JMFINANCIL,20,5,12,8
JSL,20,5,12,8
JSWENERGY,20,5,12,8
JSWSTEEL,13.14,8,7.88,13
JTEKTINDIA,20,5,12,8
JUBLFOOD,20.97,5,12.58,8
JUSTDIAL,20,5,12,8
JYOTHYLAB,20,5,12,8
KAJARIACER,20,5,12,8
KANSAINER,20,5,12,8
KCP,23,4,13.8,7
KEC,20,5,12,8
KENNAMET,20,5,12,8
KIRIINDUS,20,5,12,8
KIRLOSBROS,20.46,5,12.27,8
KNRCON,20,5,12,8
KOTAKBANK,20,5,12,8
KRBL,20.59,5,12.35,8
KSB,20,5,12,8
KSCL,20,5,12,8
KTKBANK,20,5,12,8
L&TFH,20,5,12,8
LALPATHLAB,20,5,12,8
LAXMIMACH,20,5,12,8
LICHSGFIN,20,5,12,8
LINDEINDIA,20,5,12,8
LT,8.94,11,5.36,19
LTI,21.52,5,12.91,8
LTTS,20,5,12,8
LUPIN,9.59,10,5.75,17
LUXIND,20,5,12,8
M&M,15.1,7,9.06,11
M&MFIN,20,5,12,8
MAHEPC,20,5,12,8
MAHSEAMLES,20,5,12,8
MANAPPURAM,20,5,12,8
MANGLMCEM,20,5,12,8
MARICO,6.33,16,3.8,26
MARUTI,10.37,10,6.22,16
MAZDOCK,12.5,8,7.5,13
MCDOWELL-N,20,5,12,8
MCX,20,5,12,8
MEGH,20,5,12,8
METROPOLIS,20,5,12,8
MFSL,20,5,12,8
MGL,12.26,8,7.35,14
MIDHANI,20,5,12,8
MINDACORP,20,5,12,8
MINDTREE,20,5,12,8
MMTC,20,5,12,8
MOIL,20,5,12,8
MOLDTKPAC,20,5,12,8
MOTHERSUMI,20,5,12,8
MOTILALOFS,20,5,12,8
MPHASIS,20,5,12,8
MRF,7.87,13,4.72,21
MRPL,20,5,12,8
MUTHOOTFIN,20,5,12,8
NATCOPHARM,20,5,12,8
NATIONALUM,20,5,12,8
NAUKRI,11.19,9,6.71,15
NAVKARCORP,21.62,5,12.97,8
NBCC,21.18,5,12.71,8
NCC,15.75,6,9.45,11
NCLIND,20,5,12,8
NESCO,20,5,12,8
NESTLEIND,8.28,12,4.97,20
NH,20,5,12,8
NIACL,20,5,12,8
NIFTYBEES,6.72,15,4.03,25
NLCINDIA,20.67,5,12.4,8
NMDC,20,5,12,8
NOCIL,20,5,12,8
NTPC,8.21,12,4.93,20
OBEROIRLTY,20,5,12,8
OFSS,20,5,12,8
OIL,20,5,12,8
ONGC,25.48,4,15.29,7
ORIENTELEC,20,5,12,8
PAGEIND,9.91,10,5.94,17
PAPERPROD,20,5,12,8
PEL,24.73,4,14.84,7
PETRONET,9.21,11,5.53,18
PFC,12.77,8,7.66,13
PFIZER,20,5,12,8
PFS,20,5,12,8
PGHH,20,5,12,8
PGHL,20,5,12,8
PHILIPCARB,20,5,12,8
PHOENIXLTD,20,5,12,8
PIDILITIND,8.41,12,5.04,20
PIIND,20,5,12,8
PNB,27.5,4,16.5,6
PNBGILTS,20,5,12,8
POLYCAB,22.73,4,13.64,7
POLYMED,20,5,12,8
POWERGRID,7.98,13,4.79,21
PRAJIND,20,5,12,8
PRESTIGE,21.56,5,12.94,8
PTC,20,5,12,8
PURVA,20,5,12,8
PVR,29.22,3,17.53,6
QUICKHEAL,20,5,12,8
RADICO,24.79,4,14.87,7
RAIN,20,5,12,8
RAJESHEXPO,20,5,12,8
RALLIS,20,5,12,8
RAMCOCEM,8.54,12,5.12,20
RAMCOIND,20,5,12,8
RBLBANK,20,5,12,8
RCF,23,4,13.8,7
RECLTD,10.5,10,6.3,16
REDINGTON,20,5,12,8
RELAXO,20,5,12,8
RELIANCE,10.15,10,6.09,16
RITES,20,5,12,8
